GEO_ID,STATENAME,DISTRICT,NAME,P001001,P001001ERR,P001002,P001003,P001004,P001005,P001006,P001007,P001008,P001009,P001010,P001011,P001012,P001013,P001014,P001015,P001016,P001017,P001018,P001019,P001020,P001021,P001022,P001023,P001024,P001025,P001026,P001027,P001028,P001029,P001030,P001031,P001032,P001033,P001034,P001035,P001036,P001037,P001038,P001039,P001040,P001041,P001042,P001043,P001044,P001045,P001046,P001047,P001048,P001049,P001050,P001051,P001052,P001053,P001054,P001055,P001056,P001057,P001058,P001059,P001060,P001061,P001062,P001063,P001064,P001065,P001066,P001067,P001068,P001069,P001070,P001071
5001100US3705,North Carolina,5,"Congressional District 5 (111th Congress), North Carolina",693414,null,682648,593454,54419,2043,8104,214,24414,10766,10136,3564,2323,1214,130,1744,392,145,29,248,36,3,76,37,143,52,582,301,64,5,36,40,4,33,51,17,9,3,0,8,4,1,0,0,5,1,0,33,23,1,4,2,0,0,0,1,0,1,0,0,0,1,0,15,10,0,0,3,0,2,0,0
5001100US3706,North Carolina,6,"Congressional District 6 (111th Congress), North Carolina",714412,null,702329,587933,73192,3853,12786,252,24313,12083,11292,3764,2351,1676,158,1715,590,183,46,340,55,9,76,30,239,60,745,439,77,10,54,52,5,13,32,11,9,13,1,9,8,3,3,0,4,0,2,41,18,1,8,8,0,1,2,2,0,1,0,0,0,0,0,4,3,0,0,1,0,0,1,1
5001100US3707,North Carolina,7,"Congressional District 7 (111th Congress), North Carolina",742938,null,727270,477817,154583,59273,5775,561,29261,15668,14539,3856,3971,1529,160,1830,1656,226,89,446,143,38,286,94,122,93,1045,560,82,23,54,59,5,56,76,25,9,12,3,26,28,4,6,4,8,1,4,78,19,9,20,4,5,0,12,2,1,0,5,0,0,0,1,5,3,1,0,1,0,0,1,1
5001100US3708,North Carolina,8,"Congressional District 8 (111th Congress), North Carolina",709449,null,689126,413877,201590,13793,15306,1020,43540,20323,18434,6023,3105,2129,258,2591,1499,649,167,1052,107,28,212,162,299,153,1705,865,168,29,154,87,18,55,113,51,12,50,5,20,23,40,6,1,2,2,4,168,62,5,30,24,12,1,9,6,4,4,1,5,0,5,0,14,10,2,0,1,0,1,2,2
5001100US3709,North Carolina,9,"Congressional District 9 (111th Congress), North Carolina",852377,null,834164,643790,128320,3310,27169,376,31199,18213,16854,5719,2320,3182,159,2569,921,377,74,604,85,12,190,87,460,95,1226,658,133,12,101,71,6,18,48,67,11,25,3,15,13,20,8,0,11,0,6,109,41,1,33,9,7,1,11,0,0,3,1,0,0,1,1,20,19,1,0,0,0,0,4,4
5001100US3710,North Carolina,10,"Congressional District 10 (111th Congress), North Carolina",689468,null,678037,584227,60534,2182,12432,467,18195,11431,10840,4469,2343,1211,102,1620,264,128,31,263,50,4,83,24,192,56,526,278,40,4,47,30,5,30,37,24,6,3,0,1,3,9,5,1,0,3,0,57,14,5,13,7,2,0,6,2,2,6,0,0,0,0,0,8,4,3,0,0,0,1,0,0
5001100US3711,North Carolina,11,"Congressional District 11 (111th Congress), North Carolina",703606,null,690832,627054,29072,10968,5290,547,17901,12774,12077,3617,4541,1318,180,1491,337,70,16,126,39,10,143,48,87,54,629,341,48,9,35,48,9,44,43,13,6,4,3,5,1,3,2,2,12,0,1,56,24,4,8,4,2,0,3,7,1,3,0,0,0,0,0,12,4,7,1,0,0,0,0,0
5001100US3712,North Carolina,12,"Congressional District 12 (111th Congress), North Carolina",736346,null,718101,312364,323240,3896,25149,504,52948,18245,16533,5730,1723,1588,71,2734,1768,619,163,1225,100,10,215,82,382,123,1539,992,93,23,113,43,15,32,55,34,13,38,10,31,21,19,4,1,1,0,1,156,65,14,32,14,9,0,9,3,0,3,1,6,0,0,0,16,13,3,0,0,0,0,1,1
5001100US3713,North Carolina,13,"Congressional District 13 (111th Congress), North Carolina",753104,null,734572,452730,214804,4281,20667,362,41728,18532,16799,5723,2047,2323,149,2691,1431,560,144,888,91,6,288,100,245,113,1581,976,157,9,110,64,12,35,45,40,12,22,9,27,10,18,11,0,10,11,3,135,59,4,31,8,1,5,4,3,0,3,2,10,1,2,2,17,15,1,1,0,0,0,0,0
5001100US3800,North Dakota,1,"Congressional District (at Large) (111th Congress), North Dakota",672591,null,660738,605449,7960,36591,6909,320,3509,11853,11251,2127,5455,1738,184,823,314,99,28,134,98,44,81,52,64,10,541,250,58,14,31,50,20,21,58,14,1,1,5,5,0,2,3,3,3,2,0,44,11,8,7,2,4,2,5,1,0,0,4,0,0,0,0,17,17,0,0,0,0,0,0,0
5001100US3901,Ohio,1,"Congressional District 1 (111th Congress), Ohio",598699,null,585709,386236,182805,1325,7990,477,6876,12990,11805,6181,1503,1375,108,761,804,400,96,300,43,9,47,36,103,39,1089,733,104,14,60,38,6,26,22,26,2,15,1,16,7,9,8,1,0,1,0,81,39,1,15,3,6,1,5,1,0,7,0,0,0,1,2,14,7,4,0,1,2,0,1,1
5001100US3902,Ohio,2,"Congressional District 2 (111th Congress), Ohio",673873,null,662880,612586,29860,1486,14896,285,3767,10993,10362,3550,2771,2444,148,630,228,107,15,100,28,5,26,57,247,6,590,348,70,8,29,34,8,19,30,25,2,2,0,8,2,1,0,1,0,3,0,31,20,1,0,2,4,0,0,3,0,1,0,0,0,0,0,10,9,1,0,0,0,0,0,0
