GEO_ID,STATENAME,P1_001N,P1_001NA,P1_002N,P1_002NA,P1_003N,P1_003NA,P1_004N,P1_004NA,P1_005N,P1_005NA,P1_006N,P1_006NA,P1_007N,P1_007NA,P1_008N,P1_008NA,P1_009N,P1_009NA,P1_010N,P1_010NA,P1_011N,P1_011NA,P1_012N,P1_012NA,P1_013N,P1_013NA,P1_014N,P1_014NA,P1_015N,P1_015NA,P1_016N,P1_016NA,P1_017N,P1_017NA,P1_018N,P1_018NA,P1_019N,P1_019NA,P1_020N,P1_020NA,P1_021N,P1_021NA,P1_022N,P1_022NA,P1_023N,P1_023NA,P1_024N,P1_024NA,P1_025N,P1_025NA,P1_026N,P1_026NA,P1_027N,P1_027NA,P1_028N,P1_028NA,P1_029N,P1_029NA,P1_030N,P1_030NA,P1_031N,P1_031NA,P1_032N,P1_032NA,P1_033N,P1_033NA,P1_034N,P1_034NA,P1_035N,P1_035NA,P1_036N,P1_036NA,P1_037N,P1_037NA,P1_038N,P1_038NA,P1_039N,P1_039NA,P1_040N,P1_040NA,P1_041N,P1_041NA,P1_042N,P1_042NA,P1_043N,P1_043NA,P1_044N,P1_044NA,P1_045N,P1_045NA,P1_046N,P1_046NA,P1_047N,P1_047NA,P1_048N,P1_048NA,P1_049N,P1_049NA,P1_050N,P1_050NA,P1_051N,P1_051NA,P1_052N,P1_052NA,P1_053N,P1_053NA,P1_054N,P1_054NA,P1_055N,P1_055NA,P1_056N,P1_056NA,P1_057N,P1_057NA,P1_058N,P1_058NA,P1_059N,P1_059NA,P1_060N,P1_060NA,P1_061N,P1_061NA,P1_062N,P1_062NA,P1_063N,P1_063NA,P1_064N,P1_064NA,P1_065N,P1_065NA,P1_066N,P1_066NA,P1_067N,P1_067NA,P1_068N,P1_068NA,P1_069N,P1_069NA,P1_070N,P1_070NA,P1_071N,P1_071NA
0400000US32,Nevada,3104614,null,2670605,null,1588463,null,304739,null,43932,null,272703,null,25011,null,435757,null,434009,null,400557,null,34520,null,36364,null,45769,null,6098,null,239236,null,4265,null,5716,null,1613,null,9242,null,738,null,262,null,4814,null,8079,null,3049,null,792,null,29850,null,4309,null,2794,null,575,null,3260,null,1735,null,366,null,5503,null,6574,null,2393,null,361,null,260,null,86,null,328,null,535,null,256,null,80,null,106,null,73,null,16,null,240,null,3159,null,540,null,136,null,792,null,393,null,197,null,45,null,472,null,179,null,38,null,262,null,41,null,29,null,11,null,24,null,0,null,400,null,184,null,127,null,7,null,48,null,31,null,3,null,43,null,43,null
0400000US33,New Hampshire,1377529,null,1299787,null,1216203,null,20127,null,3031,null,35871,null,453,null,24102,null,77742,null,73876,null,8076,null,19548,null,9151,null,540,null,33530,null,322,null,180,null,64,null,1685,null,67,null,7,null,223,null,194,null,203,null,86,null,3465,null,992,null,334,null,29,null,735,null,260,null,28,null,559,null,191,null,178,null,36,null,1,null,24,null,39,null,17,null,16,null,4,null,2,null,11,null,3,null,6,null,338,null,43,null,3,null,200,null,11,null,20,null,1,null,15,null,18,null,2,null,9,null,3,null,1,null,2,null,9,null,1,null,59,null,26,null,11,null,14,null,0,null,3,null,5,null,4,null,4,null
0400000US34,New Jersey,9288994,null,8385500,null,5112280,null,1219770,null,51186,null,950090,null,3533,null,1048641,null,903494,null,852673,null,70790,null,40811,null,65045,null,1740,null,559309,null,12399,null,7604,null,1168,null,65449,null,1842,null,143,null,14030,null,2097,null,7251,null,2995,null,43150,null,10254,null,2929,null,217,null,13263,null,1016,null,100,null,7374,null,967,null,3645,null,265,null,374,null,51,null,1323,null,139,null,734,null,113,null,30,null,158,null,56,null,142,null,7058,null,850,null,149,null,4730,null,79,null,633,null,62,null,46,null,244,null,26,null,112,null,18,null,39,null,13,null,38,null,19,null,546,null,157,null,310,null,22,null,17,null,29,null,11,null,67,null,67,null
0400000US35,New Mexico,2117522,null,1695276,null,1078937,null,45904,null,212241,null,37469,null,2093,null,318632,null,422246,null,405338,null,10509,null,30305,null,11482,null,1097,null,337315,null,2488,null,645,null,130,null,3049,null,643,null,214,null,5425,null,668,null,1063,null,305,null,15498,null,1949,null,443,null,55,null,1807,null,737,null,131,null,7896,null,555,null,1226,null,171,null,58,null,21,null,171,null,35,null,54,null,13,null,31,null,60,null,35,null,50,null,1230,null,171,null,27,null,546,null,43,null,71,null,20,null,102,null,124,null,16,null,61,null,19,null,6,null,7,null,1,null,16,null,152,null,32,null,84,null,16,null,4,null,13,null,3,null,28,null,28,null
0400000US36,New York,20201249,null,18433786,null,11143349,null,2986172,null,149690,null,1933127,null,10815,null,2210633,null,1767463,null,1649229,null,175686,null,113950,null,148927,null,3890,null,840481,null,31562,null,21450,null,3274,null,226733,null,5958,null,564,null,33617,null,6314,null,28694,null,8129,null,99616,null,24378,null,6334,null,504,null,31594,null,2154,null,258,null,15296,null,2222,null,6526,null,459,null,1059,null,171,null,3838,null,426,null,2558,null,476,null,145,null,548,null,156,null,514,null,16806,null,2049,null,232,null,11366,null,252,null,1429,null,92,null,135,null,430,null,37,null,240,null,92,null,210,null,29,null,120,null,93,null,1623,null,555,null,873,null,99,null,26,null,25,null,45,null,189,null,189,null
0400000US37,North Carolina,10439388,null,9727667,null,6488459,null,2140217,null,130032,null,343051,null,8518,null,617390,null,711721,null,664545,null,114798,null,124955,null,57170,null,3574,null,294386,null,23110,null,6862,null,1462,null,24413,null,983,null,249,null,7175,null,1842,null,2749,null,817,null,41836,null,16307,null,3410,null,458,null,6524,null,2035,null,261,null,6802,null,1742,null,1731,null,204,null,454,null,138,null,936,null,298,null,244,null,92,null,64,null,34,null,15,null,87,null,4728,null,1102,null,153,null,2406,null,160,null,285,null,32,null,178,null,193,null,23,null,81,null,31,null,20,null,8,null,31,null,25,null,540,null,280,null,198,null,25,null,22,null,10,null,5,null,72,null,72,null
0400000US38,North Dakota,779094,null,737154,null,645938,null,26783,null,38914,null,13213,null,924,null,11382,null,41940,null,39726,null,5120,null,14414,null,4048,null,415,null,13753,null,600,null,251,null,39,null,394,null,98,null,50,null,225,null,183,null,70,null,66,null,1968,null,645,null,155,null,34,null,212,null,173,null,36,null,347,null,166,null,76,null,11,null,9,null,7,null,29,null,21,null,7,null,1,null,11,null,11,null,0,null,17,null,192,null,35,null,8,null,62,null,11,null,2,null,3,null,22,null,22,null,0,null,0,null,3,null,10,null,1,null,6,null,7,null,49,null,14,null,10,null,6,null,16,null,3,null,0,null,5,null,5,null
0400000US39,Ohio,11799448,null,11118076,null,9080688,null,1478781,null,30720,null,298509,null,5034,null,224344,null,681372,null,638388,null,157685,null,157622,null,59329,null,3367,null,217778,null,12938,null,4679,null,811,null,17084,null,637,null,99,null,2590,null,1312,null,1861,null,596,null,38520,null,17738,null,3162,null,488,null,5720,null,1974,null,243,null,4779,null,1669,null,1190,null,162,null,310,null,88,null,548,null,178,null,126,null,31,null,36,null,33,null,15,null,30,null,3942,null,1049,null,231,null,1893,null,150,null,180,null,12,null,122,null,138,null,13,null,52,null,30,null,29,null,18,null,14,null,11,null,461,null,219,null,153,null,29,null,37,null,3,null,20,null,61,null,61,null
0400000US40,Oklahoma,3959353,null,3451195,null,2514885,null,289961,null,332791,null,90949,null,8608,null,214001,null,508158,null,476591,null,46341,null,251170,null,21338,null,2100,null,124450,null,19104,null,1726,null,420,null,3753,null,974,null,357,null,3132,null,824,null,665,null,237,null,29533,null,15616,null,1200,null,227,null,1956,null,2926,null,426,null,4845,null,921,null,541,null,75,null,202,null,58,null,295,null,61,null,41,null,13,null,77,null,21,null,7,null,25,null,1846,null,460,null,105,null,778,null,74,null,72,null,5,null,181,null,82,null,13,null,32,null,13,null,10,null,5,null,15,null,1,null,167,null,107,null,42,null,5,null,6,null,1,null,6,null,21,null,21,null
0400000US41,Oregon,4237256,null,3793917,null,3169096,null,82655,null,62993,null,194538,null,19204,null,265431,null,443339,null,412968,null,32537,null,96929,null,59341,null,7738,null,198328,null,2285,null,1647,null,519,null,2794,null,805,null,332,null,3987,null,3737,null,1543,null,446,null,27366,null,5185,null,1771,null,382,null,2242,null,2840,null,643,null,6714,null,4854,null,1724,null,271,null,141,null,63,null,159,null,101,null,66,null,20,null,75,null,37,null,3,null,75,null,2568,null,446,null,98,null,842,null,161,null,115,null,19,null,453,null,229,null,22,null,141,null,17,null,11,null,10,null,4,null,0,null,385,null,191,null,116,null,13,null,30,null,35,null,0,null,52,null,52,null
